N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,S4,N,N,N,N
N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S3,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,N,N,N,N,N,N,F,F,F,F,F,F,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,N,N,N,N,F,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,N,N,N,F,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,N,N,F,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,N,N,F,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,N,F,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,N,F,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,F,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,F,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,F,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,F,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,F,N,N,N,N,N,N,N,N,N,N,N,E2,F,F,F,F,F,F,F,ST,N,N,N,N
N,N,N,F,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,F,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,F,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,F,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,F,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,F,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,F,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,F,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,F,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,F,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,F,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,F,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,F,N,N,N,N,N,N,N,N,N,N,N,E1,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,F,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,F,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,F,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,F,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,N,F,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,N,F,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,N,N,F,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,N,N,F,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,N,N,F,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,N,N,N,F,N,N,N,N,N,N,N,N,F,F,F,F,F,F,F,N,N,N,N,N
N,N,N,N,N,N,N,F,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,N,N,N,N,F,F,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,N,N,N,N,N,N,F,F,F,F,F,F,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S2,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N
N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,S1,N,N,N,N
N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
